2025-10-01T20:39:36.475986324Z [inf]  2025-10-01 20:39:31,754 - KARMA-LiveBOT - INFO - 🤖 Bot status updated: 🧟❤️Watching Youtube: 1
2025-10-01T20:39:36.475993049Z [inf]  2025-10-01 20:39:31,847 - KARMA-LiveBOT - INFO - 🎭 LIVE-ROLE-CLEANUP: Starting live role cleanup check...
2025-10-01T20:39:36.475998271Z [inf]  2025-10-01 20:39:31,848 - KARMA-LiveBOT - INFO - 🎭 Found 1 members with live role in KARMA COM. SERVER
2025-10-01T20:39:36.476003034Z [inf]  2025-10-01 20:39:31,848 - KARMA-LiveBOT - DEBUG - ✓ TikZ aka. Zay has live role and is live on 2 platform(s)
2025-10-01T20:39:36.476007291Z [inf]  2025-10-01 20:39:31,848 - KARMA-LiveBOT - INFO - 🎭 LIVE-ROLE-CLEANUP: Completed - Checked 1 users, removed 0 stale roles
2025-10-01T20:40:06.476870146Z [inf]  2025-10-01 20:40:02,072 - KARMA-LiveBOT.Stats - INFO - 📊 Running server stats update...
2025-10-01T20:40:06.476884352Z [inf]  2025-10-01 20:40:02,073 - KARMA-LiveBOT.Stats - INFO - 📊 No server stats channels configured
2025-10-01T20:40:26.474870941Z [inf]  2025-10-01 20:40:16,655 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T20:40:26.474880889Z [inf]  2025-10-01 20:40:17,149 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:40:26.474887366Z [inf]  2025-10-01 20:40:17,150 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:40:26.474893356Z [inf]  2025-10-01 20:40:17,150 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:40:26.474898829Z [inf]  2025-10-01 20:40:21,151 - KARMA-LiveBOT.Giveaway - INFO - Giveaway 3 gestartet von tikzzay in 🎉𝗚𝗜𝗩𝗘𝗔𝗪𝗔𝗬🎉
2025-10-01T20:40:46.475385027Z [inf]  2025-10-01 20:40:42,793 - KARMA-LiveBOT - DEBUG - 🎵 Checking 2 TikTok creators
2025-10-01T20:40:46.475392803Z [inf]  2025-10-01 20:40:42,793 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Starte intelligente Live-Verifikation...
2025-10-01T20:40:46.475403924Z [inf]  2025-10-01 20:40:42,793 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste TikTokLive library...
2025-10-01T20:40:46.475408411Z [inf]  2025-10-01 20:40:43,243 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive async call erfolgreich: False
2025-10-01T20:40:46.475412678Z [inf]  2025-10-01 20:40:43,243 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library bestätigt - user offline
2025-10-01T20:40:46.475418359Z [inf]  2025-10-01 20:40:43,243 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library Ergebnis: False
2025-10-01T20:40:46.475424329Z [inf]  2025-10-01 20:40:43,243 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste HTML-Parsing von https://www.tiktok.com/@sturmpelz11...
2025-10-01T20:40:46.475428363Z [err]  2025-10-01 20:40:43,735 - KARMA-LiveBOT.TikTok - WARNING - TikTok sturmpelz11: SIGI_STATE nicht gefunden
2025-10-01T20:40:46.475432570Z [inf]  2025-10-01 20:40:43,739 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: HTML-Parsing Ergebnis: False
2025-10-01T20:40:46.475436896Z [inf]  2025-10-01 20:40:43,739 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: ❌ Beide Methoden bestätigen - User offline
2025-10-01T20:40:46.475441398Z [inf]  2025-10-01 20:40:43,740 - KARMA-LiveBOT - INFO - Handling stream status for ✨Sturmpelz✨ on tiktok: is_live=False
